id,Species,Height in cm,Location
158,Parkinsonia texana (A. Gray) S. Watson var. texana,290,MD
159,Antennaria howellii Greene,408,KY
160,Desmodium tortuosum (Sw.) DC.,164,PA
161,Lupinus croceus Eastw. var. croceus,456,PA
162,Dacryodes edulis (G. Don) H.J. Lam,311,NY
163,Juglans hindsii (Jeps.) Jeps. ex R.E. Sm.,496,NE
164,Allophylus crassinervis Radlk.,211,FL
165,Carex ×kenaica Lepage,499,CA
166,Utricularia stygia Thor,78,TX
167,Pseuderanthemum variabile (R. Br.) Radlk.,75,TN
168,Trigonella procumbens (Besser) Rchb.,418,LA
169,Medicago monantha (C.A. Mey.) Trautv.,442,TX
170,Astragalus megacarpus (Nutt.) A. Gray,103,SC
171,Pecluma consimilis (Mett.) M.G. Price,4,IL
172,Crataegus rhodella Ashe,250,AL
173,Oenothera laciniata Hill,400,KS
174,Bupleurum americanum J.M. Coult. & Rose,228,AZ
175,Arthraxon hispidus (Thunb.) Makino,380,TX
176,Agastache foeniculum (Pursh) Kuntze,40,GA
177,Liatris spicata (L.) Willd. var. spicata,253,VA
178,Erigeron strigosus Muhl. ex Willd. var. septentrionalis (Fernald & Wiegand) Fernald,303,NY
179,Rubus novocaesarius L.H. Bailey,326,NH
180,Fraxinus excelsior L.,25,CA
181,Elymus L.,36,OH
182,Jatropha dioica Cerv. var. dioica,86,FL
183,Cylindropuntia californica (Torr. & A. Gray) F.M. Knuth var. parkeri (J.M. Coult.) J. Rebman,353,ID
184,Cladina stygia (Fr.) Ahti,403,IN
185,Cynodon aethiopicus W.D. Clayton & Harlan,1,TX
186,Rhododendron occidentale (Torr. & A. Gray) A. Gray var. paludosum Jeps.,221,CO
187,Schizachyrium sanguineum (Retz.) Alston,131,IL
188,Arenaria fendleri A. Gray,482,DC
189,Phacelia capitata Kruckeb.,104,OK
190,Canoparmelia cryptochlorophaea (Hale) Elix & Hale,271,KS
191,Nierembergia hippomanica Miers var. caerulea (Miers) Millán,249,NY
192,Lupinus havardii S. Watson,255,TN
193,Trichosalpinx Luer,435,TX
194,Cotoneaster acutifolius Turcz.,493,TX
195,Festuca heterophylla Lam.,98,CA
196,Heliotropium greggii Torr.,123,FL
197,Idahoa A. Nelson & J.F. Macbr.,22,CA
198,Salsola soda L.,31,DC
199,Astragalus cobrensis A. Gray,269,OH
200,Helicteres L.,162,TX
201,Cirsium ochrocentrum A. Gray ssp. ochrocentrum,27,VA
202,Pseudocyphellaria aurata (Ach.) Vain.,168,LA
203,Scolosanthus Vahl,17,FL
204,Myrsine punctata (Levl.) Wilbur,79,PA
205,Forsythia suspensa (Thunb.) Vahl,202,GA
206,Arbutus L.,117,FL
207,Hypotrachyna prolongata (Kurok.) Hale,208,MO
208,Lonicera tatarica L.,166,CA
209,Rhizocarpon cookeanum H. Magn.,320,CA
210,"Atriplex longitrichoma Stutz, G.L. Chu & S.C. Sand.",346,TN
211,Melicope haupuensis (H. St. John) T.G. Hartley & B.C. Stone,347,GA
212,Phaseolus pedicellatus Benth. var. grayanus (Wooton & Standl.) A. Delgado ex Isely,46,TN
213,Selenicereus grandiflorus (L.) Britton & Rose,112,TX
214,Lesquerella lindheimeri (A. Gray) S. Watson,67,AL
215,Carex bella L.H. Bailey,428,CA
216,Mentzelia micrantha (Hook. & Arn.) Torr. & A. Gray,75,NE
217,Sphenopholis obtusata (Michx.) Scribn.,407,FL
218,Lesquerella lescurii (A. Gray) S. Watson,277,NY
219,Fernaldia Woodson,465,FL
220,Cucurbita foetidissima Kunth,174,MD
221,Ivesia saxosa (Lemmon ex Greene) Ertter,183,DC
222,Lecanora epibryon (Ach.) Ach.,71,TX
223,Phalaris angusta Nees ex Trin.,197,CT
224,Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan,44,TX
225,Geum pentapetalum (L.) Makino,259,IL
226,Bidens frondosa L.,499,VA
227,Sagittaria cristata Engelm.,339,TX
228,Arabis lignifera A. Nelson,137,MT
229,Chamaesyce ophthalmica (Pers.) Burch,233,FL
230,Navarretia peninsularis Greene,351,MI
231,Microstegium vimineum (Trin.) A. Camus,67,NM
232,Potentilla norvegica L.,328,OK
233,Caryota L.,286,KY
234,Ipomoea imperati (Vahl) Griseb.,82,FL
235,Mycocalicium Vain.,498,TX
236,Sinosenecio B. Nord.,290,NE
237,Clematis ochroleuca Aiton,126,CA
238,Lappula occidentalis (S. Watson) Greene var. occidentalis,55,IN
239,Eriogonum compositum Douglas ex Benth. var. compositum,102,FL
240,Brickellia arguta B.L. Rob. var. odontolepis B.L. Rob.,44,NC
241,Cocos nucifera L.,276,AZ
242,Xanthoparmelia piedmontensis (Hale) Hale,252,AL
243,Macromeria viridiflora DC.,335,TX
244,Stereocaulon arcticum Lynge,63,NC
245,Hypnum curvifolium Hedw.,195,SC
246,Populus heterophylla L.,176,DE
247,Pittosporum confertiflorum A. Gray,438,NV
248,Penstemon concinnus D.D. Keck,117,NV
249,Leavenworthia exigua Rollins var. exigua,179,MI
250,Brassavola cucullata (L.) R. Br.,357,MN
251,Sphaeralcea ambigua A. Gray,11,GA
252,Prunus fruticosa Pall.,269,WI
253,Carex planispicata Naczi,118,CA
254,Eucalyptus torquata Luehm.,49,CA
255,Dalea austrotexana B.L. Turner,410,NY
256,Ceratophyllum demersum L.,412,IL
257,Brachiaria eruciformis (Sm.) Griseb.,116,MA
258,Arenaria capillaris Poir.,450,AL
259,"Prenanthes carrii Singhurst, O'Kennon & W.C. Holmes",456,CA
260,Rumex pseudonatronatus Borbás,117,AZ
261,Salsola tragus L.,417,DC
262,Trichomanes alatum Sw.,438,IL
263,Eurhynchium pulchellum (Hedw.) Jenn. var. barnesii (Renauld & Cardot) Grout,237,OH
264,Githopsis diffusa A. Gray ssp. robusta Morin,465,FL
265,Viola ×eclipes H.E. Ballard,98,OK
266,Dryas octopetala L. ssp. octopetala var. kamtschatica (Juz.) Hultén,65,CA
267,Orthotrichum ohioense Sull. & Lesq.,307,VA
268,Phlox maculata L. ssp. maculata,209,OK
269,Heterotheca villosa (Pursh) Shinners var. ballardii (Rydb.) Semple,7,GA
270,Isotria medeoloides (Pursh) Raf.,18,FL
271,Anthurium ×selloum K. Koch (pro sp.),147,IL
272,Phaeophyscia insignis (Mereschk.) Moberg,437,TX
273,Echinocereus rigidissimus (Engelm.) hort ex F. Haage,438,OH
274,Trachybryum (Broth.) Schof.,444,WA
275,Polystichum acrostichoides (Michx.) Schott var. lonchitoides Brooks,475,MS
276,Howeia belmoreana (C. Moore & F. Muell.) Becc.,122,MI
277,Tamarix parviflora DC.,33,TX
278,Nolina lindheimeriana (Scheele) S. Watson,445,MN
279,Ribes hudsonianum Richardson var. hudsonianum,314,DC
280,Stereocaulon saxatile H. Magn.,356,NY
281,Aristida californica Thurb. ex S. Watson,74,MN
282,Polystichum Roth,434,PA
283,Empetrum eamesii Fernald & Wiegand ssp. atropurpureum (Fernald & Wiegand) D. Löve,136,OH
284,Xyris baldwiniana Schult.,449,DC
285,Paronychia americana (Nutt.) Fenzl ex Walp.,258,VA
286,Legenere limosa (Greene) McVaugh,192,CA
287,Arctostaphylos cruzensis J.B. Roof,417,OH
288,Grimmia atrata Miel. ex Hornsch.,151,TX
289,Heterotheca oregona (Nutt.) Shinners var. rudis (Greene) Semple,91,GA
290,Amaranthus tricolor L.,95,NV
291,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. tenuipes (Wiegand) G.L. Nesom,456,IA
292,Caltha leptosepala DC. ssp. leptosepala var. sulfurea C.L. Hitchc.,285,MA
293,Eriophyllum latilobum Rydb.,401,LA
294,Euopsis granatina (Sommerf.) Nyl.,89,CO
295,Agastache urticifolia (Benth.) Kuntze var. glaucifolia (A. Heller) Cronquist,291,MI
296,Chasmanthe N.E. Br.,177,WI
297,Lonicera sempervirens L.,346,CA
298,Lecanora rugosella Zahlbr.,265,NY
299,Tetramolopium consanguineum (A. Gray) Hillebr. ssp. consanguineum,366,OR
300,Sauropus Blume,74,TX
301,Blepharipappus scaber Hook. ssp. scaber,346,NJ
302,Paspalum almum Chase,413,MO
303,Lupinus bingenensis Suksd. var. subsaccatus Suksd.,378,GA
304,Orcuttia tenuis Hitchc.,214,AZ
305,Murraya exotica L.,338,KY
306,Phacelia glabra Nutt.,309,CA
307,Astragalus shevockii Barneby,46,CA
308,Cyperus cyperinus (Retz.) Sur.,128,CA
309,Myosotis stricta Link ex Roem. & Schult.,454,MO
310,Melica geyeri Munro ex Bol.,290,WV
311,Spiraea splendens Baumann ex K. Koch var. splendens,311,WI
312,Hypocenomyce scalaris (Ach. ex Lilj.) M. Choisy,485,WA
313,Candelina mexicana (de Lesd.) Poelt,417,TX
314,Muhlenbergia ramulosa (Kunth) Swallen,477,CA
315,Phyllostegia brevidens A. Gray,138,CA
316,Carya carolinae-septentrionalis (Ashe) Engl. & Graebn.,223,GA
317,Ribes mescalerium Coville,190,AL
318,Astragalus nutans M.E. Jones,39,KS
319,Aloina rigida (Hedw.) Limpr.,185,FL
320,Callitriche L.,364,TX
321,Manilkara pleeana (Pierre ex Baill.) Cronquist,172,WY
322,Setaria megaphylla (Steud.) T. Dur. & Schinz,256,IN
323,Hornungia procumbens (L.) Hayek,173,KY
324,Arthopyrenia malaccitula (Nyl.) Zahlbr.,346,CA
325,Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose var. grayi,240,GA
326,Collema fuscovirens (With.) J.R. Laundon,244,NY
327,Lomatium rigidum (M.E. Jones) Jeps.,425,TX
328,Pseudognaphalium canescens (DC.) W.A. Weber,110,CA
329,Mimulus ringens L. var. colpophilus Fernald,347,DC
330,Euphorbia pinetorum (Small) G.L. Webster,224,DC
331,Ephedra torreyana S. Watson,227,TX
332,Halophila Thouars,390,PA
333,Valeriana occidentalis A. Heller,147,CA
334,Opegrapha leucoplaca Müll. Arg.,272,AZ
335,Serjania diversifolia (Jacq.) Radlk.,110,TX
336,Heterosperma pinnatum Cav.,42,MN
337,Polypodium pellucidum Kaulf. var. vulcanicum Skottsb.,338,KS
338,Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. shastensis (A. Gray) B.L. Turner,155,KS
339,Stachys latidens Small ex Britton,309,FL
340,Bidens micrantha Gaudich. ssp. kalealaha Nagata & Ganders,244,FL
341,Conyza primulifolia (Lam.) Cuatrec. & Lourteig,229,LA
342,Cryptantha crinita Greene,265,PA
343,Agalinis plukenetii (Elliott) Raf.,464,FL
344,Penstemon roezlii Regel,51,AZ
345,Viburnum ellipticum Hook.,81,DC
346,Laportea aestuans (L.) Chew,11,VA
347,Sticta beauvoisii Delise,301,FL
348,Rubus conanicutensis L.H. Bailey,195,FL
349,Prunus armeniaca L.,432,FL
350,Forestiera segregata (Jacq.) Krug & Urb. var. pinetorum (Small) M.C. Johnst.,72,MD
351,Desmodium triflorum (L.) DC.,485,TX
352,Cleistes bifaria (Fernald) Catling & Gregg,277,KS
353,Carex richardsonii R. Br.,399,MS
354,Ficus altissima Blume,382,OH
355,Sisymbrium orientale L.,241,AZ
356,Pedicularis bracteosa Benth. var. flavida (Pennell) Cronquist,289,NY
357,Plagiobothrys scriptus (Greene) I.M. Johnst.,291,NY
358,Neoparrya Mathias,22,CA
359,Hesperocyparis abramsiana (C.B. Wolf) Bartel var. butanoensis (Silba) Bartel & R.P. Adams,63,DC
360,Pedicularis parryi A. Gray ssp. parryi,194,FL
361,Cuscuta megalocarpa Rydb.,80,CA
362,Eriogonum fasciculatum Benth. var. foliolosum (Nutt.) S. Stokes ex Abrams,63,NY
363,Hylocereus undatus (Haw.) Britton & Rose,55,FL
364,Verbena menthifolia Benth.,100,LA
365,Habenaria macroceratitis Willd.,405,HI
366,Ochna mossambicensis Klotzsch,283,NC
367,Drimys winteri J.R. Forst. & G. Forst.,277,OR
368,Quercus imbricaria Michx.,460,OR
369,Erigeron bloomeri A. Gray var. bloomeri,4,AZ
370,Onosma L.,89,PA
371,Mikania porosa Urb.,330,MI
372,Cuphea P. Br.,113,GA
373,Oxytheca parishii Parry var. goodmaniana Ertter,65,AL
374,Carex dudleyi Mack.,225,DC
375,Asahinea W.L. Culb. & C.F. Culb.,408,VA
376,Hymenoxys ambigens (S.F. Blake) Bierner var. ambigens,497,KS
377,Eriogonum verrucosum Reveal,245,IA
378,Xyris difformis Chapm. var. difformis,384,AZ
379,Carex texensis (Torr.) L.H. Bailey,17,NY
380,Mycoblastus marginatus Degel.,328,AK
381,Carpinus L.,212,CO
382,Polytrias Hack.,437,TX
383,Ficus nota (Blanco) Merr.,140,IL
384,Cetraria islandica (L.) Ach. ssp. orientalis (Asah.) Karnefelt,391,TX
385,Carex hoodii Boott,399,IA
386,Hibiscus arnottianus A. Gray ssp. arnottianus,288,CA
387,Streptanthus sparsiflorus Rollins,115,AZ
388,Castilleja miniata Douglas ex Hook. ssp. dixonii (Fernald) Kartesz,412,NY
389,Cleomella plocasperma S. Watson,260,LA
390,Ballota nigra L.,378,VA
391,Monarda citriodora Cerv. ex Lag. ssp. citriodora var. citriodora,197,CA
392,Carum L.,144,CA
393,Clermontia samuelii Forbes ssp. samuelii,286,TX
394,Lupinus croceus Eastw. var. croceus,446,NY
395,Climacium americanum Brid.,150,CA
396,Erigeron rhizomatus Cronquist,139,MA
397,Ceanothus gloriosus J.T. Howell var. porrectus J.T. Howell,212,MO
398,Gonzalagunia hirsuta (Jacq.) K. Schum.,212,KS
399,Desmodium paniculatum (L.) DC.,188,PA
400,Astragalus monumentalis Barneby,479,TX
401,Leptochloa dubia (Kunth) Nees,378,CA
402,Eriogonum insigne S. Watson,41,NJ
403,Syagrus romanzoffiana (Cham.) Glassman,265,CA
404,Campanula cochlearifolia Lam.,347,NY
405,Mappia Jacq.,400,TX
406,Dalea wrightii A. Gray var. warnockii (Tharp & F.A. Barkley) B.L. Turner,59,NY
407,Eragrostis tenuifolia (A. Rich.) Hochst. ex Steud.,356,AK
408,Lithachne pauciflora (Sw.) P. Beauv.,16,IN
409,Fritillaria liliacea Lindl.,205,CA
410,Ageratum corymbosum Zuccagni ex Pers.,210,FL
411,Rhynchospora crinipes Gale,285,TX
412,Erigeron uncialis S.F. Blake,264,CO
413,Stereocaulon sasakii Zahlbr.,229,NC
414,Dupontia R. Br.,448,FL
415,Glandulicactus uncinatus (Galeotti) Backeb. [excluded] var. uncinatus ,223,CA
416,Lindera melissifolia (Walter) Blume,315,CA
417,Sorbus sitchensis M. Roem. var. grayi (Wenzig) C.L. Hitchc.,334,PA
418,Lawsonia inermis L.,162,WA
419,Caloplaca quercicola H. Magn.,140,TX
420,Macroptilium (Benth.) Urb.,337,FL
421,Eriogonum microthecum Nutt. var. lapidicola Reveal,77,FL
422,Acacia muricata (L.) Willd.,319,CA
423,Bambusa multiplex (Lour.) Raeusch. ex Schult. & Schult. f.,403,NC
424,Philodendron ornatum Schott,250,CA
425,Trifolium microdon Hook. & Arn.,313,FL
426,Draba calcifuga Lesica,333,VA
427,Besseya oblongifolia Pennell,444,MN
428,Stellaria media (L.) Vill.,407,AK
429,Vaccinium myrsinites Lam.,68,TX
430,Ivesia kingii S. Watson,62,CA
431,Lecidella effugiens (Nilson) Knoph & Hertel,182,PA
432,Crataegus indicens Ashe,414,FL
433,Baccharis plummerae A. Gray,102,NY
434,Dulichium arundinaceum (L.) Britton var. boreale Lepage,498,WA
435,Trifolium echinatum M. Bieb. var. echinatum,464,AZ
436,Skimmia Thunb.,44,AR
437,Guazuma ulmifolia Lam.,455,VA
438,Strychnos L.,193,IN
439,Bryum salinum I. Hagen ex Limpr.,290,PA
440,Phyllostegia wawrana Sherff,133,IL
441,Antennaria rosea Greene,302,IN
442,Buellia triphragmioides Anzi,305,IL
443,Agrostis clivicola Crampton,77,CA
444,Rumex tomentellus Rech. f.,486,MI
445,Pilophorus robustus Th. Fr.,365,AL
446,Picris echioides L.,39,IL
447,Acalypha mexicana Müll. Arg.,180,DE
448,Synedrella nodiflora (L.) Gaertn.,196,OH
449,Descurainia pinnata (Walter) Britton ssp. glabra (Wooton & Standl.) Detling,53,FL
450,Carex rupestris All. var. rupestris,257,LA
451,Leptochloa fusca (L.) Kunth ssp. uninervia (J. Presl) N. Snow,407,NY
452,Torenia L.,6,IL
453,Luzula alpinopilosa (Chaix) Breistr.,276,NM
454,Sanicula canadensis L. var. grandis Fernald,63,TN
455,Erigeron parishii A. Gray,148,OK
456,Crataegus menandiana Sarg.,345,MA
457,Eschscholzia lemmonii Greene,409,WA
458,"Potentilla morefieldii Ertter, nom. inq.",90,DC
459,Rhynchospora gigantea Link,280,MA
460,Deschampsia flexuosa (L.) Trin. var. montana (L.) Ducomm.,325,FL
461,Corydalis incisa (Thunb.) Pers.,158,WA
462,Mouriri domingensis (Tussac) Spach,326,DC
463,Lecanora farinaria Borrer,270,LA
464,Crataegus brazoria Sarg.,475,CA
465,Allium dictuon H. St. John,375,CO
466,Chorizanthe brevicornu Torr.,206,NY
467,Elymus sierrus Gould,264,TX
468,Piper dilatatum Rich.,145,AZ
469,Aletes anisatus (A. Gray) W.L. Theobald & C.C. Tseng,499,NC
470,Axyris amaranthoides L.,240,MA
471,Sida elliottii Torr. & A. Gray var. parviflora Chapm.,33,UT
472,Epilobium suffruticosum Nutt.,205,TN
473,Oncidium carthaginense (Jacq.) Sw. [excluded],311,MN
474,Eucalyptus orbifolia F. Muell.,374,OH
475,Navarretia divaricata (Torr. ex A. Gray) Greene,405,GA
476,Penstemon crandallii A. Nelson,93,IN
477,Leproloma vouauxii (Hue) J.R. Laundon,24,NY
478,Ribes sanguineum Pursh var. sanguineum,421,DC
479,Ribes sanguineum Pursh var. sanguineum,32,GA
480,Dudleya attenuata (S. Watson) Moran,262,TX
481,Flavoparmelia Hale,108,IA
482,Elaeocarpus bifidus Hook. & Arn.,57,OH
483,Atriplex klebergorum M.C. Johnst.,446,NC
484,Carex joorii L.H. Bailey,153,MO
485,Draba corrugata S. Watson,435,CA
486,Parnassia L.,243,NE
487,Lespedeza thunbergii (DC.) Nakai,183,TN
488,Malaxis monophyllos (L.) Sw.,299,AZ
489,Viola ×slavinii House,278,AZ
490,Pentachaeta exilis (A. Gray) A. Gray ssp. aeolica Van Horn & Ornduff,202,CA
491,Grimmia incurva Schwägr.,30,WY
492,Elymus elymoides (Raf.) Swezey,207,CA
493,Paspalum virletii Fourn.,58,TN
494,Pyrenula subferruginea (Malme) R.C. Harris,92,WV
495,Myrcia deflexa (Poir.) DC.,270,TX
496,Tripterocalyx micranthus (Torr.) Hook.,137,PA
497,Cynodon plectostachyus (K. Schum.) Pilg.,286,TX
498,Hackelia hispida (A. Gray) I.M. Johnst.,301,FL
